# Total spectrum = sum of the 10 sub-spectra (synthetic NRVS-like demo)
# Wavenumber(cm-1)   Intensity   Error
    70.000        4.99652    5.00000
    71.000        4.22909    5.00000
    72.000       13.21197    5.00000
    73.000       13.95965    5.00000
    74.000       19.91818    5.00000
    75.000        4.66549    5.00000
    76.000       18.07209    5.00000
    77.000        9.14288    5.00000
    78.000        7.43073    5.00000
    79.000       18.12289    5.00000
    80.000       14.57624    5.00000
    81.000       24.45046    5.00000
    82.000        8.98578    5.00000
    83.000       25.89392    5.00000
    84.000       17.85807    5.00000
    85.000       22.15565    5.00000
    86.000       19.41416    5.00000
    87.000       37.57042    5.00000
    88.000       38.57249    5.00000
    89.000       54.26155    5.00000
    90.000       58.56840    5.00000
    91.000       63.54451    5.00000
    92.000       76.86531    5.00000
    93.000       92.80741    5.00000
    94.000      111.19507    5.00000
    95.000      143.03369    5.00000
    96.000      161.19244    5.00000
    97.000      193.31467    5.00000
    98.000      229.42519    5.00000
    99.000      264.13515    5.00000
   100.000      304.50217    5.00000
   101.000      348.07440    5.00000
   102.000      388.24840    5.00000
   103.000      421.22383    5.00000
   104.000      466.00626    5.00000
   105.000      495.01548    5.00000
   106.000      533.00506    5.00000
   107.000      563.14053    5.00000
   108.000      579.02367    5.00000
   109.000      595.25661    5.00000
   110.000      604.28679    5.00000
   111.000      600.31023    5.00000
   112.000      570.24758    5.00000
   113.000      558.22925    5.00000
   114.000      534.76368    5.00000
   115.000      508.88782    5.00000
   116.000      465.49697    5.00000
   117.000      437.02325    5.00000
   118.000      390.73658    5.00000
   119.000      342.25320    5.00000
   120.000      302.15358    5.00000
   121.000      264.30978    5.00000
   122.000      224.10604    5.00000
   123.000      198.24992    5.00000
   124.000      177.28470    5.00000
   125.000      146.58005    5.00000
   126.000      128.18924    5.00000
   127.000      100.07396    5.00000
   128.000       83.05926    5.00000
   129.000       71.95322    5.00000
   130.000       58.78892    5.00000
   131.000       64.53981    5.00000
   132.000       46.49800    5.00000
   133.000       47.71582    5.00000
   134.000       40.23622    5.00000
   135.000       32.88110    5.00000
   136.000       38.75911    5.00000
   137.000       35.33814    5.00000
   138.000       33.90158    5.00000
   139.000       32.17143    5.00000
   140.000       34.60432    5.00000
   141.000       37.80994    5.00000
   142.000       46.30160    5.00000
   143.000       39.91581    5.00000
   144.000       43.89469    5.00000
   145.000       46.65758    5.00000
   146.000       59.64368    5.00000
   147.000       71.73258    5.00000
   148.000       90.76354    5.00000
   149.000       90.41357    5.00000
   150.000      102.11781    5.00000
