# Sub-spectrum 04 — bands at 110, 165, 215 cm^-1
# Wavenumber(cm-1)   Intensity   Error
    70.000        6.16060    5.00000
    71.000       -4.02706    5.00000
    72.000       -0.30450    5.00000
    73.000        6.02957    5.00000
    74.000        4.22538    5.00000
    75.000        3.06830    5.00000
    76.000        5.38494    5.00000
    77.000        6.92784    5.00000
    78.000       -1.95744    5.00000
    79.000       -3.60984    5.00000
    80.000       -3.01837    5.00000
    81.000       12.31038    5.00000
    82.000       -1.93499    5.00000
    83.000        2.55225    5.00000
    84.000        3.27232    5.00000
    85.000        9.93960    5.00000
    86.000       -3.18352    5.00000
    87.000        6.21021    5.00000
    88.000       13.59385    5.00000
    89.000       14.47767    5.00000
    90.000       12.65223    5.00000
    91.000       11.38499    5.00000
    92.000       24.00668    5.00000
    93.000        9.89413    5.00000
    94.000       26.75890    5.00000
    95.000       28.60648    5.00000
    96.000       33.87421    5.00000
    97.000       37.75026    5.00000
    98.000       43.57514    5.00000
    99.000       53.89870    5.00000
   100.000       50.64483    5.00000
   101.000       57.67381    5.00000
   102.000       72.36869    5.00000
   103.000       79.40823    5.00000
   104.000       87.26022    5.00000
   105.000      101.14026    5.00000
   106.000       96.23827    5.00000
   107.000      107.80370    5.00000
   108.000      109.64424    5.00000
   109.000      121.83561    5.00000
   110.000      103.77968    5.00000
   111.000      107.32165    5.00000
   112.000      105.53603    5.00000
   113.000      110.79763    5.00000
   114.000       95.23288    5.00000
   115.000      101.72650    5.00000
   116.000       94.73329    5.00000
   117.000       83.82986    5.00000
   118.000       74.15276    5.00000
   119.000       56.59222    5.00000
   120.000       57.84669    5.00000
   121.000       42.67927    5.00000
   122.000       41.38902    5.00000
   123.000       38.15822    5.00000
   124.000       30.16884    5.00000
   125.000       31.69119    5.00000
   126.000       22.16256    5.00000
   127.000       11.55475    5.00000
   128.000       11.05864    5.00000
   129.000        7.56661    5.00000
   130.000       10.38647    5.00000
   131.000       16.63341    5.00000
   132.000       11.68805    5.00000
   133.000        9.90601    5.00000
   134.000        1.07178    5.00000
   135.000       18.83983    5.00000
   136.000        6.52577    5.00000
   137.000       18.58387    5.00000
   138.000        2.14362    5.00000
   139.000        3.77074    5.00000
   140.000       19.89250    5.00000
   141.000        1.97406    5.00000
   142.000       10.09209    5.00000
   143.000        7.18414    5.00000
   144.000        5.95206    5.00000
   145.000       22.28308    5.00000
   146.000        8.28297    5.00000
   147.000       20.04013    5.00000
   148.000       23.80324    5.00000
   149.000       16.48253    5.00000
   150.000       15.88876    5.00000
   151.000       20.90564    5.00000
   152.000       30.85115    5.00000
   153.000       41.58707    5.00000
   154.000       48.30557    5.00000
   155.000       52.27682    5.00000
   156.000       59.59970    5.00000
   157.000       72.04622    5.00000
   158.000       78.01550    5.00000
   159.000       82.79598    5.00000
   160.000       84.04049    5.00000
   161.000       96.49937    5.00000
   162.000       98.04925    5.00000
   163.000       96.79331    5.00000
   164.000       99.74985    5.00000
   165.000      109.50044    5.00000
   166.000      111.89680    5.00000
   167.000       97.95526    5.00000
   168.000       86.86068    5.00000
   169.000       95.69395    5.00000
   170.000       82.79263    5.00000
   171.000       84.78837    5.00000
   172.000       72.56063    5.00000
   173.000       78.63405    5.00000
   174.000       61.04483    5.00000
   175.000       58.14451    5.00000
   176.000       41.01638    5.00000
   177.000       26.90081    5.00000
   178.000       36.11573    5.00000
   179.000       31.78280    5.00000
   180.000       29.72412    5.00000
   181.000       19.61560    5.00000
   182.000       12.77583    5.00000
   183.000        8.63288    5.00000
   184.000       17.30490    5.00000
   185.000       16.44898    5.00000
   186.000        7.28466    5.00000
   187.000        8.15589    5.00000
   188.000        6.62242    5.00000
   189.000        0.56839    5.00000
   190.000       11.12660    5.00000
   191.000       14.75860    5.00000
   192.000       10.13965    5.00000
   193.000        5.23584    5.00000
   194.000       12.85925    5.00000
   195.000       22.64540    5.00000
   196.000       28.98349    5.00000
   197.000       22.80285    5.00000
   198.000       21.32445    5.00000
   199.000       19.91197    5.00000
   200.000       27.49771    5.00000
   201.000       41.02421    5.00000
   202.000       49.69930    5.00000
   203.000       57.78428    5.00000
   204.000       63.86770    5.00000
   205.000       66.76969    5.00000
   206.000       76.34588    5.00000
   207.000       94.91236    5.00000
   208.000       99.92699    5.00000
   209.000      120.06234    5.00000
   210.000      115.01582    5.00000
   211.000      138.47232    5.00000
   212.000      133.07664    5.00000
   213.000      142.27678    5.00000
   214.000      145.20209    5.00000
   215.000      143.33544    5.00000
   216.000      133.95645    5.00000
   217.000      138.62368    5.00000
   218.000      143.83275    5.00000
   219.000      123.37958    5.00000
   220.000      112.78044    5.00000
   221.000      112.05633    5.00000
   222.000      101.52996    5.00000
   223.000       87.18017    5.00000
   224.000       79.85699    5.00000
   225.000       71.39093    5.00000
   226.000       62.34255    5.00000
   227.000       56.44712    5.00000
   228.000       51.13669    5.00000
   229.000       42.32913    5.00000
   230.000       35.74316    5.00000
   231.000       36.91698    5.00000
   232.000       29.27611    5.00000
   233.000        5.25857    5.00000
   234.000       14.69466    5.00000
   235.000        5.89806    5.00000
   236.000        8.10548    5.00000
   237.000       13.59789    5.00000
   238.000        7.27644    5.00000
   239.000        4.96453    5.00000
   240.000       12.74434    5.00000
   241.000       -2.12397    5.00000
   242.000        4.30550    5.00000
   243.000        7.01139    5.00000
   244.000        3.97019    5.00000
   245.000       -2.31525    5.00000
   246.000        3.09469    5.00000
   247.000        6.99480    5.00000
   248.000        4.52771    5.00000
   249.000        4.14192    5.00000
   250.000        3.92532    5.00000
   251.000        2.91727    5.00000
   252.000       -4.09624    5.00000
   253.000        0.44640    5.00000
   254.000        4.03911    5.00000
   255.000      -13.78499    5.00000
   256.000        5.48445    5.00000
   257.000        3.30400    5.00000
   258.000       -3.87924    5.00000
   259.000       -2.25958    5.00000
   260.000        0.38858    5.00000
   261.000        3.41517    5.00000
   262.000       -0.57780    5.00000
   263.000        7.07541    5.00000
   264.000        3.25746    5.00000
   265.000       -2.78652    5.00000
   266.000       -1.25226    5.00000
   267.000        2.20143    5.00000
   268.000        4.66762    5.00000
   269.000        4.39022    5.00000
   270.000        0.46854    5.00000
   271.000        1.67219    5.00000
   272.000        0.76911    5.00000
   273.000        4.97604    5.00000
   274.000       -4.09220    5.00000
   275.000        3.82752    5.00000
   276.000       -8.47316    5.00000
   277.000        3.02074    5.00000
   278.000        2.02446    5.00000
   279.000        0.72037    5.00000
   280.000       -9.96100    5.00000
   281.000        8.51637    5.00000
   282.000        5.15636    5.00000
   283.000        0.77390    5.00000
   284.000        2.92329    5.00000
   285.000       -4.08336    5.00000
   286.000        3.15937    5.00000
   287.000        8.38353    5.00000
   288.000       -5.32165    5.00000
   289.000       14.01880    5.00000
   290.000       -1.64287    5.00000
   291.000        4.66608    5.00000
   292.000       -3.61377    5.00000
   293.000        2.45701    5.00000
   294.000       -5.87610    5.00000
   295.000       -2.81235    5.00000
   296.000       -0.67085    5.00000
   297.000       -2.81729    5.00000
   298.000       -0.75521    5.00000
   299.000        5.32217    5.00000
   300.000       -5.95224    5.00000
   301.000       -5.55449    5.00000
   302.000        0.65094    5.00000
   303.000       -2.41365    5.00000
   304.000       -4.61953    5.00000
   305.000        1.05155    5.00000
   306.000       -2.43804    5.00000
   307.000        2.05714    5.00000
   308.000        0.17050    5.00000
   309.000       -0.64369    5.00000
   310.000        0.01446    5.00000
   311.000        5.46534    5.00000
   312.000        6.91333    5.00000
   313.000       -0.46137    5.00000
   314.000       -4.81916    5.00000
   315.000       -7.23160    5.00000
   316.000      -10.84868    5.00000
   317.000       -5.56607    5.00000
   318.000       -3.95324    5.00000
   319.000        0.04048    5.00000
   320.000       -9.10461    5.00000
   321.000        7.44160    5.00000
   322.000        5.60612    5.00000
   323.000        6.50951    5.00000
   324.000       -2.28536    5.00000
   325.000        1.49465    5.00000
   326.000       -4.46652    5.00000
   327.000        8.01512    5.00000
   328.000       -5.80319    5.00000
   329.000       -2.31022    5.00000
   330.000        7.37106    5.00000
   331.000       12.69920    5.00000
   332.000       -0.21224    5.00000
   333.000       -1.82844    5.00000
   334.000      -12.29650    5.00000
   335.000        8.78792    5.00000
   336.000        1.77316    5.00000
   337.000       -9.19079    5.00000
   338.000        4.58244    5.00000
   339.000        3.29187    5.00000
   340.000       -1.55265    5.00000
   341.000       -2.57289    5.00000
   342.000        3.86393    5.00000
   343.000        1.38011    5.00000
   344.000        2.64169    5.00000
   345.000        6.33720    5.00000
   346.000        6.16794    5.00000
   347.000        4.00187    5.00000
   348.000        3.12310    5.00000
   349.000       -6.19682    5.00000
   350.000       -5.38571    5.00000
   351.000        4.28173    5.00000
   352.000        3.42270    5.00000
   353.000        2.77523    5.00000
   354.000        4.38373    5.00000
   355.000       -2.59031    5.00000
   356.000        3.00209    5.00000
   357.000       -4.76913    5.00000
   358.000        0.48503    5.00000
   359.000        4.81765    5.00000
   360.000       -3.21538    5.00000
   361.000        9.93145    5.00000
   362.000        5.83532    5.00000
   363.000        7.02350    5.00000
   364.000       -0.89474    5.00000
   365.000       -6.78559    5.00000
   366.000       -3.33565    5.00000
   367.000        2.91382    5.00000
   368.000       -1.24132    5.00000
   369.000        3.75877    5.00000
   370.000        0.90249    5.00000
   371.000       -2.80024    5.00000
   372.000        4.81794    5.00000
   373.000        6.90395    5.00000
   374.000       -3.51713    5.00000
   375.000        2.70158    5.00000
   376.000        0.92346    5.00000
