# Sub-spectrum 09 — bands at 110, 270, 450, 525 cm^-1
# Wavenumber(cm-1)   Intensity   Error
    70.000        7.45039    5.00000
    71.000        4.65562    5.00000
    72.000       -2.20539    5.00000
    73.000        5.65144    5.00000
    74.000        3.19405    5.00000
    75.000        9.68011    5.00000
    76.000        6.50469    5.00000
    77.000        1.62470    5.00000
    78.000        7.54167    5.00000
    79.000        0.66726    5.00000
    80.000       -2.01665    5.00000
    81.000        4.28306    5.00000
    82.000        6.20996    5.00000
    83.000        9.08265    5.00000
    84.000        4.23616    5.00000
    85.000        5.32221    5.00000
    86.000        9.46459    5.00000
    87.000        6.47990    5.00000
    88.000       16.14165    5.00000
    89.000        2.20753    5.00000
    90.000        5.21443    5.00000
    91.000       12.50481    5.00000
    92.000       22.26282    5.00000
    93.000       19.67342    5.00000
    94.000       17.40476    5.00000
    95.000       32.79596    5.00000
    96.000       28.74847    5.00000
    97.000       46.97413    5.00000
    98.000       51.97483    5.00000
    99.000       62.51050    5.00000
   100.000       69.31446    5.00000
   101.000       76.95433    5.00000
   102.000       83.66151    5.00000
   103.000       87.07370    5.00000
   104.000       96.31932    5.00000
   105.000      104.47955    5.00000
   106.000      112.08022    5.00000
   107.000      113.91777    5.00000
   108.000      117.07187    5.00000
   109.000      130.37090    5.00000
   110.000      118.27828    5.00000
   111.000      128.67207    5.00000
   112.000      130.90835    5.00000
   113.000      111.52689    5.00000
   114.000      118.05142    5.00000
   115.000      103.84681    5.00000
   116.000      104.16488    5.00000
   117.000       85.82491    5.00000
   118.000       86.57449    5.00000
   119.000       68.05677    5.00000
   120.000       56.52030    5.00000
   121.000       63.85006    5.00000
   122.000       43.30485    5.00000
   123.000       34.22560    5.00000
   124.000       34.56773    5.00000
   125.000       27.36828    5.00000
   126.000       30.15943    5.00000
   127.000       15.83463    5.00000
   128.000       14.57225    5.00000
   129.000       17.87062    5.00000
   130.000        7.98191    5.00000
   131.000       14.84395    5.00000
   132.000       13.50187    5.00000
